Gewässer	Stationsname	StationsNr.	Zeitpunkt	Wasserstand	AS	Tendenz	-2h	-4h	-6h	-12h	-24h	MG	AS1	AS2	AS3	AS4	Abfluss	MQ
Saale	Calbe UP	570930	28.08.2023 17:00	429			428	417	402	401	399		700	750	830	900		
Saale	Halle-Trotha UP	570810	28.08.2023 17:00	176			178	180	185	196	190		400	450	550	630		
Saale	Kaulsdorf	570250	28.08.2023 16:45	112			111	112	111	111	111						22	16,5
Saale	Rischmühle UP	570630	28.08.2023 17:00	209			213	217	219	224	223							
Saale	Bernburg UP	570910	28.08.2023 17:00	156			160	158	150	144	145	400						
Saale	Nienburg-Bodemündung	579100	28.08.2023 17:00	150			152	151	149	148	148							
Saale	Hohenweiden-Röpzig	570710	28.08.2023 17:00	66			65	66	67	70	68							
Salza	Zappendorf	578310	28.08.2023 17:00	105			107	109	110	116	125						0,492	0,951
Salzwedeler Dumme	Tylsen	597205	28.08.2023 16:45	94			92	92	92	91	90		140	170	180	195	0,272	0,78
Salzwedeler Dumme	Salzwedel-Dumme	597208	28.08.2023 17:00	23			23	23	23	23	23		110	140	140	140	0,272	0,639
Schaugraben/Secantsgraben	Karritz (Secantsgraben)	594137	28.08.2023 17:00	64			64	64	64	64	64							
Schlenze	Friedeburg	578390	28.08.2023 05:15	32			33	34	34	34	33						0,03	0,167
Schnauder	Oelsen	577450	28.08.2023 17:00	16			17	17	17	16	16							
Schwarza	Schwarzburg	572115	28.08.2023 16:45	42			42	43	43	43	44						3,59	4,59
Schwarze Elster	Gorsdorf	553080	28.08.2023 17:00	25			25	25	26	26	26							
Schwarze Elster	Löben	553060	28.08.2023 16:45	44			44	43	43	43	44		150	200	250	300	2,32	17,4
Schwarze Elster	Herzberg	5530501	28.08.2023 16:45	75			65	64	64	65	65						2,99	
Schwarze Elster	Neuwiese	553020	28.08.2023 16:45	60			57	58	58	53	51						0,253	3,01
Schwarze Elster	Bad Liebenwerda	5530500	28.08.2023 16:45	65			65	65	65	64	64						2,18	
Seege	Bömenzien	594961	28.08.2023 16:45	129			129	129	129	129	129						0,072	0,697
Selke	Meisdorf	579610	28.08.2023 16:45	18			18	18	21	22	21		90	120	140	190	0,502	1,48
Selke	Güntersberge	579600	28.08.2023 16:45	16			16	16	16	16	16						0,042	
Selke	Silberhütte	579605	28.08.2023 17:00	33			34	34	34	34	34		120	140	160	200	0,245	1,05
Selke	Hausneindorf	579620	28.08.2023 16:45	77			77	77	77	77	78		160	210	250	270	0,544	1,63
Sprotte	Großstöbnitz	577800	28.08.2023 16:45	86			86	86	86	85	85						0,37	
Süßer See Ablauf	Süßer See - Seepegel Südschleuse	578362	28.08.2023 07:00	59			59	59	59	59	58							
Tanger	Demker	592002	28.08.2023 17:00	45			45	46	46	46	47						0,99	1,22
Taube-Landgraben	Aken (Taube)	578650	28.08.2023 17:00	24			24	24	24	25	25						0,032	0,344
Thyra	Stolberg	575700	28.08.2023 16:45	19			19	19	19	19	19		70	85	100	125	0,167	0,395
Thyra	Berga	575710	28.08.2023 17:00	115			116	116	116	116	116						0,35	1,09
Thüringer Wipper	Hachelbich	575240	28.08.2023 16:45	24			24	24	24	24	25						1,31	3,17
Thüringer Wipper	Wipperdorf (neu)	575211	28.08.2023 16:45	95			95	95	96	96	96						0,638	2,25
Tucheim-Parchener Bach	Tucheim	587620	28.08.2023 17:00	91			91	91	91								0,247	0,55
Uchte	Goldbeck	594180	28.08.2023 16:45	28			28	28	28	29	29						0,179	1,37
Uchte	Stendal	594171	28.08.2023 16:45	47			47	47	47	46	46						0,067	0,406
Uchte	Tornau	594160	28.08.2023 16:45	25			26	26	26	25	25						0,042	0,261
Unstrut	Laucha	573360	28.08.2023 16:45	229			232	234	234	234	242	380					22,2	29,3
Unstrut	Oldisleben	573110	28.08.2023 16:45	229			229	230	231	232	236	390					13,1	18,9
Unstrut	Straußfurt	573100	28.08.2023 16:45	86			86	86	87	88	90						9,25	
Unstrut	Nägelstedt	573010	28.08.2023 16:45	121			121	121	120	119	121						2,93	3,99
Unstrut	Wangen	573260	28.08.2023 16:45	201			201	202	203	205	215		340	400	460	520	20,4	25,3
Untermilde	Kalbe	594143	28.08.2023 17:00	70			70	70	70	70	70						0,087	0,552
Warme Bode	Tanne	579205	28.08.2023 16:45	113			113	113	113	113	114	165					0,983	2,03
Weiße Elster	Kleindalzig	576631	28.08.2023 16:45	47			46	47	47	44	45	170					5,98	16,9
Weiße Elster	Greiz	576470	28.08.2023 16:45	154			152	152	152	153	153						4,22	10,6
Weiße Elster	Oberthau	576900	28.08.2023 16:30	146			143	141	141	144	146	240			350	400	11,5	25,5
